timestamp,pod name,cpu usage (%),memory usage (%),pod status,pod restarts,ready containers,total containers,pod event type,pod event reason,pod event age,pod event source,pod event message,node name,event reason,event age,event source,event message,memory usage (mb),active memory requests (mb),memory requests (%),active memory limits (mb)emory limits utilization (%),memory usage (cache) (mb),memory usage (swap) (mb),network receive bytes,network transmit bytes,network receive packets (p/s),network transmit packets (p/s),network receive packets dropped (p/s),network transmit packets dropped (p/s),fs reads total (mb),fs writes total (mb),fs reads/writes total (mb),fs reads bytes total (mb),fs writes bytes total (mb),fs reads/writes bytes total (mb)
2024-04-01 00:00:00,recommendation,31.44,4.06,Failed,1,1,2,Normal,Killing,1m,controller,Mounting volume,node1,Failed,15m,api-server,Volume detached,174.86,195.62,39.31,10.41,12.16,4.68,4686.7,3817.04,6.55,2.3,2.34,2.02,2.8421,0.8462,5.977,1.7787,0.8505,1.8216
2024-04-01 01:00:00,frontend,2.05,34.93,Pending,2,0,1,Critical,FailedMount,10s,scheduler,Container failed,node1,Failed,5m,kubelet,Node not ready,54.73,197.13,15.74,48.47,16.25,7.47,7335.64,7884.25,13.27,3.53,0.15,2.15,2.7224,0.5465,0.5089,0.7219,1.4783,2.7492
2024-04-01 02:00:00,recommendation,18.44,3.5,Pending,4,0,2,Normal,Scheduled,5m,kubelet,Container failed,node3,Evicted,15m,api-server,Resource constraint,93.47,88.99,13.47,36.06,6.01,4.76,3583.29,6055.85,6.07,7.8,3.47,2.13,0.5707,1.7934,3.868,1.7819,2.8135,3.3832
2024-04-01 03:00:00,frontend,40.48,53.13,Unknown,3,0,1,Normal,Killing,10s,scheduler,Container failed,node1,Evicted,15m,api-server,Resource constraint,297.87,143.93,79.1,28.36,45.55,7.09,1318.36,6530.92,16.46,4.46,3.23,1.97,3.0417,0.881,3.3055,0.6043,1.8683,0.164
2024-04-01 04:00:00,recommendation,46.92,41.94,Pending,0,0,2,Critical,Scheduled,30s,controller,Mounting volume,node2,Failed,5m,api-server,Node not ready,408.77,154.64,76.25,32.62,43.98,1.16,6872.94,5398.17,1.96,13.06,2.04,2.16,4.8278,2.8203,0.1283,0.6791,1.0142,2.6345
2024-04-01 05:00:00,frauddetection,38.13,8.43,Failed,0,0,2,Critical,Killing,1m,scheduler,Pod scheduled,node2,Evicted,15m,api-server,Node not ready,166.33,65.66,14.34,88.97,22.33,9.6,3183.47,7260.83,4.61,5.46,0.15,1.62,4.25,1.6231,5.1527,0.4377,2.4993,0.8307
2024-04-01 06:00:00,frauddetection,1.79,46.99,Unknown,1,1,1,Critical,BackOff,10m,controller,Pod scheduled,node2,Failed,15m,kubelet,Node not ready,187.61,157.36,68.32,28.57,43.11,9.94,4614.65,6634.59,12.49,7.62,2.4,1.08,0.8491,3.9751,4.3967,1.2277,0.6998,1.6132
2024-04-01 07:00:00,recommendation,14.33,74.21,Pending,2,1,1,Normal,Scheduled,1m,scheduler,Container failed,node3,Started,20m,kubelet,Volume detached,96.03,134.64,60.76,46.83,37.14,5.9,2585.81,4599.72,14.24,2.21,4.09,2.63,0.6199,0.2222,0.7038,0.1283,0.1463,0.6409
2024-04-01 08:00:00,redis,41.84,38.67,Unknown,4,1,2,Normal,BackOff,1m,scheduler,Mounting volume,node3,Failed,10m,api-server,Volume detached,431.92,97.78,14.45,87.31,39.83,6.49,8457.16,5685.19,17.5,13.8,1.66,0.27,2.216,1.4042,1.7485,0.3645,1.8991,2.7403
2024-04-01 09:00:00,recommendation,15.12,11.1,Running,4,1,2,Warning,BackOff,10m,controller,Pod scheduled,node3,Evicted,15m,api-server,Volume detached,249.59,188.32,67.81,13.37,19.31,4.57,8021.21,6125.47,18.78,1.61,3.17,2.6,1.7438,1.3587,3.1625,0.1705,2.8276,1.4835
2024-04-01 10:00:00,redis,9.95,43.46,Pending,4,1,2,Warning,Scheduled,10m,scheduler,Mounting volume,node1,Evicted,20m,api-server,Node not ready,420.42,94.8,35.05,51.92,33.07,4.57,2744.42,5245.89,4.31,2.24,3.83,0.25,2.9363,1.073,0.0772,0.6732,2.017,0.5816
2024-04-01 11:00:00,frontend,36.04,20.94,Unknown,3,1,2,Critical,Killing,10m,scheduler,Mounting volume,node2,Started,20m,api-server,Volume detached,261.17,150.19,20.56,49.43,26.77,7.55,3677.82,1831.31,1.51,9.36,4.37,1.94,0.2353,0.1655,4.7961,1.1555,1.2985,0.0482
2024-04-01 12:00:00,redis,9.29,17.95,Failed,4,0,2,Normal,FailedMount,10m,controller,Container failed,node1,Failed,5m,kubelet,Volume detached,195.72,53.38,41.26,86.12,10.39,2.22,9291.97,5270.44,18.16,12.66,2.65,2.01,0.4428,3.6833,2.3568,1.0016,1.08,2.0639
2024-04-01 13:00:00,redis,25.99,15.49,Pending,4,1,2,Warning,Scheduled,1m,kubelet,Container failed,node1,Failed,15m,kubelet,Volume detached,141.55,166.33,28.53,25.55,30.35,3.55,6087.1,6768.43,1.11,5.68,0.54,1.76,1.9136,0.6153,0.3538,0.0081,2.1057,2.3067
2024-04-01 14:00:00,redis,37.86,67.94,Running,2,1,1,Critical,BackOff,30s,controller,Mounting volume,node3,Started,20m,kubelet,Volume detached,148.99,146.59,45.24,59.98,37.59,8.77,5989.71,4840.39,3.01,5.26,3.17,2.93,1.4874,1.6127,4.1654,0.1573,0.0344,0.7841
2024-04-01 15:00:00,frauddetection,11.35,24.4,Failed,2,0,2,Warning,BackOff,10s,kubelet,Container failed,node3,Failed,10m,kubelet,Volume detached,218.03,169.06,37.05,17.31,45.32,8.01,4436.43,4167.85,1.93,9.14,2.21,1.2,2.9403,2.363,2.332,0.3833,1.6344,2.3708
2024-04-01 16:00:00,redis,26.93,47.63,Unknown,1,1,2,Warning,Scheduled,5m,scheduler,Mounting volume,node2,Failed,20m,kubelet,Resource constraint,490.72,58.72,32.68,37.54,8.68,4.07,8143.69,1910.24,15.65,6.3,3.04,1.56,3.9663,3.5144,0.2233,1.3184,2.1677,0.6318
2024-04-01 17:00:00,redis,47.52,14.65,Unknown,2,0,2,Normal,FailedMount,10s,controller,Container failed,node3,Evicted,5m,api-server,Node not ready,185.92,56.31,17.38,85.69,10.37,8.53,8193.2,4113.91,19.32,14.35,1.25,2.14,4.3507,1.0043,4.8186,0.6977,1.1123,3.0684
